Category,Product Name
Afghani,Kathal Biryani [for 2 Persons- 500 Ml]
Afghani,Butter Soya Biryani Biryani [for 2 Persons- 500 Ml]
Afghani,Jeera Rice [500 Ml Container]
Afghani,Plain Rice [500 Ml Container]
Afghani,Mix Veg Raita
Afghani,Masala Raita
Afghani,Pudina Raita
Afghani,Butter Naan
Afghani,Tandoori Butter Roti
Afghani,Garlic Naan
Afghani,Tandoori Roti
Afghani,Laccha Parantha
Afghani,Roomali Roti
Afghani,Plain Naan
Afghani,Hari Mirch Ajwain Parantha
Afghani,Pudina Parantha
Afghani,Kalonji Naan
Afghani,Laal Mirch Parantha
Afghani,Kurkuri Soya Chaap [full] + Coke [ 250 Ml ]
Afghani,Paneer 65 + Coke [ 250 Ml ]
Afghani,Paneer Malai Tikka [4pcs ] + Roomali Roti
Afghani,Soya 65 [full] + Coke [ 250 Ml ]
Afghani,Paneer Chatpata Tikka [4pcs ] + Coke [ 250 Ml ]
Afghani,Dahi Ke Sholay [6pcs] + Coke [ 250 Ml ]
Afghani,"Tandoori Chicken [half, 4 Pcs] + Coke [ 250 Ml ]"
Afghani,Butter Chicken Tikka [4pcs] + Roomali Roti
Afghani,Chicken Malai Tikka [4pcs] + Coke [ 250 Ml ]
Afghani,Classic Chicken Tikka [4pcs] + Coke [ 250 Ml ]
Afghani,Butter Soya Roll + Virgin Mojito
Afghani,Butter Paneer Kathi Roll + Virgin Mojito
Afghani,Chatpata Paneer Tikka Kathi Roll + Virgin Mojito
Afghani,Creamy Paneer Tikka Kathi Roll + Coke [ 250 Ml ]
Afghani,Creamy Soya Tikka Kathi Roll + Coke [250 Ml ]
Afghani,Malai Soya Chaap Kathi Roll + Coke [250 Ml ]
Afghani,Garlic Chicken Tikka Roll +coke [ 250 Ml ]
Afghani,Chicken Seekh Kebab Kathi Roll + Coke [ 250 Ml ]
Afghani,Butter Chicken Kathi Roll + Coke [ 250 Ml ]
Afghani,Mutton Seekh Kebab Roll + Coke [ 250 Ml ]
Afghani,Chatpata Chicken Tikka Kathi Roll + Virgin Mojito
Afghani,Gulab Jamun
Afghani,Coke [ 330 Ml ]
Afghani,Masala Coke [ 250 Ml ]
Andhra,Boneless Chicken Biryani (650 gms)
Andhra,Chicken Dum Biryani (650 gms)
Andhra,Pepper Chicken Boneless Biryani (650 gms)
Andhra,Egg Biryani (650 gms)
Andhra,Exotic Paneer Biryani (650 gms)
Andhra,Pepper Paneer Biryani (650 gms)
Andhra,Pepper Mushroom Biryani (650 gms)
Andhra,Chicken Kebab Boneless (Full) - 240gms
Andhra,Pepper Chicken Fry Boneless - 240gms
Andhra,Neruppu Chicken 21 Boneless - 240gms
Andhra,Chicken Kebab Boneless (Half) - 130gms
Andhra,Neruppu Paneer 21
Andhra,Pepper Paneer Fry - 240gms
Andhra,Mushroom Pepper Fry - 200gms
Andhra,Pepper chicken biryani bowl (Serves 1)
Andhra,Boneless chicken biryani bowl (Serves 1)
Andhra,Exotic Paneer biryani bowl (Serves 1)
Andhra,Pepper Mushroom biryani bowl (Serves 1)
Andhra,Boneless Chicken Biryani (650 gms)
Andhra,Chicken Dum Biryani (650 gms)
Andhra,Kebab Biryani (650 gms)
Andhra,Pepper Chicken Boneless Biryani (650 gms)
Andhra,Egg Biryani (650 gms)
Andhra,Exotic Paneer Biryani (650 gms)
Andhra,Pepper Paneer Biryani (650 gms)
Andhra,Pepper Mushroom Biryani (650 gms)
Andhra,Potato Dum Biryani (650 gms)
Andhra,Biryani Rice
Andhra,Pepper Chicken Boneless Biryani Family Pack
Andhra,Boneless Chicken Biryani Family Pack
Andhra,Dum Chicken Biryani Family Pack
Andhra,Kebab Chicken Biryani Family Pack
Andhra,Exotic Paneer Biryani Family Pack
Andhra,Pepper Mushroom Biryani Family Pack
Andhra,Chicken Kebab Boneless (Full) - 240gms
Andhra,Pepper Chicken Fry Boneless - 240gms
Andhra,Roasted Chicken Masala - 240gms
Andhra,Neruppu Chicken 21 Boneless - 240gms
Andhra,Chicken Kebab Boneless (Half) - 130gms
Andhra,Roasted Paneer Masala - 240gms
Andhra,Neruppu Paneer 21
Andhra,Pepper Paneer Fry - 240gms
Andhra,Mushroom Pepper Fry - 200gms
Andhra,Parota
Andhra,Curry
Andhra,Raita
Andhra,Roasted Egg
Andhra,2 Bowls + 2 Cutleries
Andhra,Pepsi Can
Andhra,Raw Pressery Alphanso Mango
Andhra,Raw pressery Mixed Fruit
Andhra,Raw Pressery Tender Coconut water
Andhra,Coke Zero Can
Andhra,Coke Can
Andhra,Raw Pressery Mango
Arabian,Grilled Chicken With Hummus & Pita
Arabian,Falafel With Hummus & Pita
Arabian,Grilled Veggies With Hummus & Pita
Arabian,Chicken Kafta Kebab
Arabian,Chicken Shish Tawook
Arabian,Non-veg Mezze
Arabian,Veg Mezze
Arabian,Jumbo Non-veg Mezze
Arabian,Jumbo Veg Mezze
Arabian,Dips Bundle Platter
Arabian,Harrisa Falafel Shawarma
Arabian,Paneer Shawarmaa
Arabian,Grilled Veggies Shawarma
Arabian,Classic Chicken Shawarma
Arabian,Spicy Chicken Shawarma
Arabian,Butter Chicken Shawarma
Arabian,Grilled Chicken Salad
Arabian,Falafel Salad
Arabian,Garlic Chicken Fino
Arabian,Sheesh Tawa Fino
Arabian,Classic Chicken Shawarma  + Lemon Ice Tea
Arabian,Peri-peri Chicken Shawarma  + Lemon Ice Tea
Arabian,Spicy Chicken Shawarma  + Lemon Ice Tea
Arabian,Classic Falafel Shawarma + Lemon Ice Tea
Arabian,Paneer Shawarmaa  + Lemon Ice Tea
Arabian,Peri-peri Falafel Shawarma  + Lemon Ice Tea
Arabian,Mutton Kebab Shawarma  + Lemon Ice Tea
